k,mean,sd,lo,hi,seed0,pct_ge_075
10,0.6409375,0.06487118068182636,0.4875,0.8041666666666666,0.7500000000000001,0.055
20,0.6496875,0.06176767710165067,0.475,0.7958333333333334,0.7625,0.065
